year;month;location;location_type;category;grape_type;volume_hl;value_usd
2015;1;AC;Brazil_State;Production;Table;910;1782.31
2015;1;AC;Brazil_State;Production;Wine;3822;11435.9
2015;1;AC;Brazil_State;Production;Sparkling;516;902.97
2015;1;AC;Brazil_State;Sales;Table;3494;10491.74
2015;1;AC;Brazil_State;Sales;Wine;180;279.26
2015;1;AC;Brazil_State;Sales;Sparkling;819;2706.79
2015;2;AC;Brazil_State;Production;Table;2483;4853.18
2015;2;AC;Brazil_State;Production;Wine;1234;2789.59
2015;2;AC;Brazil_State;Production;Sparkling;4167;6324.11
2015;2;AC;Brazil_State;Sales;Table;2954;6581.73
2015;2;AC;Brazil_State;Sales;Wine;1132;2829.61
2015;2;AC;Brazil_State;Sales;Sparkling;2097;4677.07
2015;3;AC;Brazil_State;Production;Table;1025;2133.98
2015;3;AC;Brazil_State;Production;Wine;2784;8479.97
2015;3;AC;Brazil_State;Production;Sparkling;1949;5429.11
2015;3;AC;Brazil_State;Sales;Table;1578;2550.25
2015;3;AC;Brazil_State;Sales;Wine;3940;12611.03
2015;3;AC;Brazil_State;Sales;Sparkling;2938;4884.8
2015;4;AC;Brazil_State;Production;Table;2485;9580.93
2015;4;AC;Brazil_State;Production;Wine;2111;7432.82
2015;4;AC;Brazil_State;Production;Sparkling;2874;4425.72
2015;4;AC;Brazil_State;Sales;Table;1413;2970.92
2015;4;AC;Brazil_State;Sales;Wine;1528;4622.19
2015;4;AC;Brazil_State;Sales;Sparkling;825;1308.43
2015;5;AC;Brazil_State;Production;Table;3202;6874.53
2015;5;AC;Brazil_State;Production;Wine;3993;13529.9
2015;5;AC;Brazil_State;Production;Sparkling;1071;2998.98
2015;5;AC;Brazil_State;Sales;Table;3893;7638.6
2015;5;AC;Brazil_State;Sales;Wine;4848;17480.49
2015;5;AC;Brazil_State;Sales;Sparkling;211;524.94
2015;6;AC;Brazil_State;Production;Table;1045;3129.51
2015;6;AC;Brazil_State;Production;Wine;4961;11491.42
2015;6;AC;Brazil_State;Production;Sparkling;3848;10782.43
2015;6;AC;Brazil_State;Sales;Table;387;1102.65
2015;6;AC;Brazil_State;Sales;Wine;4937;11808.73
2015;6;AC;Brazil_State;Sales;Sparkling;4909;14813.33
2015;7;AC;Brazil_State;Production;Table;542;1003.95
2015;7;AC;Brazil_State;Production;Wine;2112;4040.61
2015;7;AC;Brazil_State;Production;Sparkling;2618;8981.34
2015;7;AC;Brazil_State;Sales;Table;2077;4639.44
2015;7;AC;Brazil_State;Sales;Wine;441;1465.23
2015;7;AC;Brazil_State;Sales;Sparkling;4524;7623.45
2015;8;AC;Brazil_State;Production;Table;2328;7281.27
2015;8;AC;Brazil_State;Production;Wine;3149;11518.28
2015;8;AC;Brazil_State;Production;Sparkling;4925;11461.68
2015;8;AC;Brazil_State;Sales;Table;4648;10585.61
2015;8;AC;Brazil_State;Sales;Wine;854;2838.71
2015;8;AC;Brazil_State;Sales;Sparkling;2823;10496.0
2015;9;AC;Brazil_State;Production;Table;2740;9321.38
2015;9;AC;Brazil_State;Production;Wine;552;1891.93
2015;9;AC;Brazil_State;Production;Sparkling;920;1473.0
2015;9;AC;Brazil_State;Sales;Table;256;657.63
2015;9;AC;Brazil_State;Sales;Wine;1534;3074.59
2015;9;AC;Brazil_State;Sales;Sparkling;913;2822.11
2015;10;AC;Brazil_State;Production;Table;613;1782.72
2015;10;AC;Brazil_State;Production;Wine;1807;3339.93
2015;10;AC;Brazil_State;Production;Sparkling;1728;5855.98
2015;10;AC;Brazil_State;Sales;Table;1109;4277.56
2015;10;AC;Brazil_State;Sales;Wine;1772;5735.9
2015;10;AC;Brazil_State;Sales;Sparkling;2675;8187.87
2015;11;AC;Brazil_State;Production;Table;1647;5078.54
2015;11;AC;Brazil_State;Production;Wine;2743;7245.19
2015;11;AC;Brazil_State;Production;Sparkling;3677;9344.27
2015;11;AC;Brazil_State;Sales;Table;2031;5785.01
2015;11;AC;Brazil_State;Sales;Wine;1579;2850.44
2015;11;AC;Brazil_State;Sales;Sparkling;3352;12627.22
2015;12;AC;Brazil_State;Production;Table;1356;3481.9
2015;12;AC;Brazil_State;Production;Wine;2725;6489.38
2015;12;AC;Brazil_State;Production;Sparkling;1332;2021.15
2015;12;AC;Brazil_State;Sales;Table;4794;13001.69
2015;12;AC;Brazil_State;Sales;Wine;4829;10190.71
2015;12;AC;Brazil_State;Sales;Sparkling;3495;7153.95
2016;1;AC;Brazil_State;Production;Table;1545;5032.91
2016;1;AC;Brazil_State;Production;Wine;1903;7477.75
2016;1;AC;Brazil_State;Production;Sparkling;4709;9969.85
2016;1;AC;Brazil_State;Sales;Table;3507;11505.33
2016;1;AC;Brazil_State;Sales;Wine;1686;3729.6
2016;1;AC;Brazil_State;Sales;Sparkling;3202;6938.58
2016;2;AC;Brazil_State;Production;Table;4147;11432.02
2016;2;AC;Brazil_State;Production;Wine;904;1985.74
2016;2;AC;Brazil_State;Production;Sparkling;3524;11283.02
2016;2;AC;Brazil_State;Sales;Table;1757;4602.39
2016;2;AC;Brazil_State;Sales;Wine;1783;3753.46
2016;2;AC;Brazil_State;Sales;Sparkling;4981;8478.33
2016;3;AC;Brazil_State;Production;Table;3305;6920.98
2016;3;AC;Brazil_State;Production;Wine;816;2862.41
2016;3;AC;Brazil_State;Production;Sparkling;2981;11800.46
2016;3;AC;Brazil_State;Sales;Table;1980;7011.34
2016;3;AC;Brazil_State;Sales;Wine;658;1234.93
2016;3;AC;Brazil_State;Sales;Sparkling;4332;8518.0
2016;4;AC;Brazil_State;Production;Table;1844;5490.02
2016;4;AC;Brazil_State;Production;Wine;1419;3945.15
2016;4;AC;Brazil_State;Production;Sparkling;196;464.85
2016;4;AC;Brazil_State;Sales;Table;1784;3453.67
2016;4;AC;Brazil_State;Sales;Wine;3026;7546.63
2016;4;AC;Brazil_State;Sales;Sparkling;2435;8752.06
2016;5;AC;Brazil_State;Production;Table;1852;4357.14
2016;5;AC;Brazil_State;Production;Wine;4111;13317.42
2016;5;AC;Brazil_State;Production;Sparkling;312;982.79
2016;5;AC;Brazil_State;Sales;Table;673;1943.63
2016;5;AC;Brazil_State;Sales;Wine;3693;7947.61
2016;5;AC;Brazil_State;Sales;Sparkling;3773;10925.6
2016;6;AC;Brazil_State;Production;Table;4140;8163.12
2016;6;AC;Brazil_State;Production;Wine;3220;10467.88
2016;6;AC;Brazil_State;Production;Sparkling;2305;8627.1
2016;6;AC;Brazil_State;Sales;Table;3241;12054.66
2016;6;AC;Brazil_State;Sales;Wine;4773;8163.5
2016;6;AC;Brazil_State;Sales;Sparkling;1495;4742.84
2016;7;AC;Brazil_State;Production;Table;303;461.47
2016;7;AC;Brazil_State;Production;Wine;2607;10037.82
2016;7;AC;Brazil_State;Production;Sparkling;2250;3403.47
2016;7;AC;Brazil_State;Sales;Table;4483;12167.02
2016;7;AC;Brazil_State;Sales;Wine;3284;10278.6
2016;7;AC;Brazil_State;Sales;Sparkling;4117;13505.6
2016;8;AC;Brazil_State;Production;Table;4543;10510.23
2016;8;AC;Brazil_State;Production;Wine;4037;9754.09
2016;8;AC;Brazil_State;Production;Sparkling;1268;3986.63
2016;8;AC;Brazil_State;Sales;Table;3154;9008.93
2016;8;AC;Brazil_State;Sales;Wine;1004;2428.97
2016;8;AC;Brazil_State;Sales;Sparkling;3496;7433.04
2016;9;AC;Brazil_State;Production;Table;1743;6854.39
2016;9;AC;Brazil_State;Production;Wine;3486;9470.96
2016;9;AC;Brazil_State;Production;Sparkling;3404;8802.7
2016;9;AC;Brazil_State;Sales;Table;4943;15386.36
2016;9;AC;Brazil_State;Sales;Wine;1009;3693.36
2016;9;AC;Brazil_State;Sales;Sparkling;3117;10305.21
2016;10;AC;Brazil_State;Production;Table;4804;14075.77
2016;10;AC;Brazil_State;Production;Wine;3170;5100.56
2016;10;AC;Brazil_State;Production;Sparkling;1293;3458.6
2016;10;AC;Brazil_State;Sales;Table;1119;4237.83
2016;10;AC;Brazil_State;Sales;Wine;1110;4241.08
2016;10;AC;Brazil_State;Sales;Sparkling;351;1374.74
2016;11;AC;Brazil_State;Production;Table;3220;12721.67
2016;11;AC;Brazil_State;Production;Wine;1189;2658.75
2016;11;AC;Brazil_State;Production;Sparkling;1030;2036.6
